The following is responsible for storing calcium ions in muscle cells:, Sarcoplasmic reticulum, Golgi apparatus, Mitochondria, Endoplasmic reticulum,A
The following is the contractile unit of a skeletal muscle fiber:, Myofibril, Myosin filament, Sarcomere, Actin filament,C
The following is the neurotransmitter responsible for initiating muscle contraction:, Serotonin, Acetylcholine, Dopamine, GABA,B
The following is the enzyme that breaks down acetylcholine at the neuromuscular junction:, Acetylase, Cholinesterase, Acetyltransferase, Acetylcholinesterase,D
The following is the term for the brief delay between the receipt of a stimulus and the start of muscle contraction:, Contraction period, Relaxation period, Refractory period, Latent period,D
The following is the process by which ATP is generated in muscle cells without the presence of oxygen:, Glycolysis, Oxidative phosphorylation, Krebs cycle, Electron transport chain,A
The following is the protein that regulates the interaction between actin and myosin in muscle contraction:, Nebulin, Tropomyosin, Titin, Troponin,D
The following is the type of muscle contraction that involves a constant tension while the muscle changes in length:, Isotonic contraction, Concentric contraction, Eccentric contraction, Isometric contraction,A
The following is the specialized region of the sarcolemma that forms a motor end plate with the axon terminal of a motor neuron:, Synaptic knob, Synaptic vesicle, Neuromuscular junction, Synaptic cleft,C
The following is the phenomenon where a muscle fiber cannot respond to a stimulus until it has completely relaxed from a previous contraction:, Tetanus, Temporal summation, Wave summation, Muscle fatigue,B
The following is the process of muscle relaxation that occurs when calcium ions are actively pumped back into the sarcoplasmic reticulum:, Calcium reuptake, Calcium binding, Calcium release, Calcium activation,A
The following is the phenomenon where the force of muscle contraction increases as the rate of stimulation increases:, Treppe, Tetany, Tetanus, Summation,A
The following is the type of muscle contraction that involves the muscle generating force but not changing in length:, Isotonic contraction, Eccentric contraction, Concentric contraction, Isometric contraction,D
The following is the molecule that directly binds to calcium ions during muscle contraction:, Myosin, Tropomyosin, Actin, Troponin,D
The following is the enzyme that catalyzes the hydrolysis of ATP to provide energy for muscle contraction:, Phosphofructokinase, Creatine kinase, Actin ATPase, Myosin ATPase,D
The following is the process by which muscle fibers increase in size due to an increase in the number of myofibrils and the synthesis of more contractile proteins:, Hyperplasia, Hypertrophy, Mitosis, Atrophy,B
The following is the type of muscle contraction that involves the muscle shortening while generating force:, Concentric contraction, Eccentric contraction, Isotonic contraction, Isometric contraction,A
A motor neuron and all the muscle fibers it innervates is known as a/an:, Muscle spindle, Neuromuscular junction, Motor unit, Sarcomere,C
A type of muscle contraction where the muscle generates force but does not change in length is called a/an:, Isotonic contraction, Isometric contraction, Concentric contraction, Eccentric contraction,B
The protein that regulates the interaction between actin and myosin during muscle contraction is called:, Titin, Troponin, Myosin, Tropomyosin,D
The brief delay between the receipt of a stimulus and the start of muscle contraction is known as the:, Latent period, Contraction period, Refractory period, Relaxation period,A
The enzyme that breaks down acetylcholine at the neuromuscular junction is called:, Acetylase, Acetyltransferase, Cholinesterase, Acetylcholinesterase,D
The neurotransmitter responsible for initiating muscle contraction is:, Acetylcholine, Serotonin, GABA, Dopamine,A
The specialized region of the sarcolemma that forms a motor end plate with the axon terminal of a motor neuron is called the:, Neuromuscular junction, Synaptic vesicle, Synaptic cleft, Synaptic knob,A
The type of muscle contraction that involves a muscle generating force while changing in length is called a/an:, Concentric contraction, Isometric contraction, Eccentric contraction, Isotonic contraction,D
The process by which ATP is generated in muscle cells without the presence of oxygen is called:, Oxidative phosphorylation, Electron transport chain, Krebs cycle, Glycolysis,D
The contractile unit of a skeletal muscle fiber is called a/an:, Myofibril, Sarcomere, Myosin filament, Actin filament,B
The phenomenon where a muscle fiber cannot respond to a stimulus until it has completely relaxed from a previous contraction is called:, Muscle fatigue, Temporal summation, Wave summation, Tetanus,B
The molecule that directly binds to calcium ions during muscle contraction is called:, Myosin, Actin, Tropomyosin, Troponin,D
The type of muscle contraction that involves the muscle shortening while generating force is called a/an:, Eccentric contraction, Isometric contraction, Isotonic contraction, Concentric contraction,D
The enzyme that catalyzes the hydrolysis of ATP to provide energy for muscle contraction is called:, Phosphofructokinase, Creatine kinase, Myosin ATPase, Actin ATPase,C
The process of muscle relaxation that occurs when calcium ions are actively pumped back into the sarcoplasmic reticulum is called:, Calcium activation, Calcium reuptake, Calcium release, Calcium binding,B
The process by which muscle fibers increase in size due to an increase in the number of myofibrils and the synthesis of more contractile proteins is called:, Atrophy, Hyperplasia, Mitosis, Hypertrophy,D
The phenomenon where the force of muscle contraction increases as the rate of stimulation increases is called:, Tetany, Tetanus, Treppe, Summation,C
The following structure filters blood in the kidneys:, Renal artery, Loop of Henle, Glomerulus, Collecting duct,C
The following hormone regulates water reabsorption in the kidney tubules:, Atrial natriuretic peptide (ANP), Aldosterone, Antidiuretic hormone (ADH), Renin,C
The following is the process of removing waste products from the blood and forming urine in the kidneys:, Reabsorption, Filtration, Secretion, Excretion,D
The following is the hormone that stimulates red blood cell production in the bone marrow and is produced by the kidneys:, Parathyroid hormone, Thyroxine, Insulin, Erythropoietin,D
The following is the term for the functional unit of the kidney that filters blood and produces urine:, Nephron, Glomerulus, Renal corpuscle, Renal tubule,A
The following is the hormone that regulates sodium reabsorption and potassium excretion in the distal tubules of the kidney:, Aldosterone, Angiotensin II, Antidiuretic hormone (ADH), Atrial natriuretic peptide (ANP),A
The following is the process by which substances in the filtrate move from the renal tubules back into the bloodstream:, Secretion, Filtration, Excretion, Reabsorption,D
The following is the hormone that regulates calcium and phosphate levels in the blood and is produced by the parathyroid glands in response to low calcium levels:, Thyroid-stimulating hormone (TSH), Parathyroid hormone (PTH), Insulin, Calcitonin,B
The following is the process by which substances are actively transported from the peritubular capillaries into the renal tubules for excretion:, Secretion, Filtration, Reabsorption, Excretion,A
The following is the hormone that helps regulate blood pressure by constricting blood vessels and stimulating the release of aldosterone from the adrenal glands:, Erythropoietin, Angiotensin II, Atrial natriuretic peptide (ANP), Antidiuretic hormone (ADH),B
The following is the structure that connects the kidneys to the urinary bladder and transports urine from the kidneys to the bladder:, Urethra, Ureter, Renal artery, Renal pelvis,B
The following is the hormone that promotes water reabsorption in the kidneys by increasing the permeability of the collecting ducts to water:, Aldosterone, Renin, Antidiuretic hormone (ADH), Atrial natriuretic peptide (ANP),C
The following is the process by which water and solutes are forced out of the glomerulus and into the Bowman's capsule:, Excretion, Reabsorption, Filtration, Secretion,C
The following is the hormone that is released by the atria of the heart in response to high blood pressure and inhibits the release of aldosterone and ADH:, Angiotensin II, Atrial natriuretic peptide (ANP), Aldosterone, Erythropoietin,B
The following is the term for the network of capillaries that filters blood in the renal corpuscle of the nephron:, Glomerulus, Loop of Henle, Collecting duct, Renal artery,A
The following is the process by which substances move from the peritubular capillaries into the renal tubules for excretion or removal from the body:, Secretion, Excretion, Filtration, Reabsorption,A
The following is the hormone that stimulates the reabsorption of sodium and the secretion of potassium in the proximal tubules of the kidney:, Angiotensin II, Aldosterone, Antidiuretic hormone (ADH), Atrial natriuretic peptide (ANP),B
The following is the part of the nephron that is responsible for reabsorbing water and concentrating the urine:, Collecting duct, Loop of Henle, Renal tubule, Glomerulus,A
The following is the hormone that is released by the kidneys in response to high blood pressure and inhibits the release of renin and ADH:, Aldosterone, Angiotensin II, Erythropoietin, Atrial natriuretic peptide (ANP),D
The following is the process by which substances move from the renal tubules back into the peritubular capillaries:, Filtration, Excretion, Secretion, Reabsorption,D
The following is the part of the nephron that is responsible for reabsorbing most of the filtered water and solutes:, Loop of Henle, Glomerulus, Proximal convoluted tubule, Distal convoluted tubule,C
The following is the process by which substances move from the peritubular capillaries into the renal tubules for excretion or removal from the body:, Reabsorption, Secretion, Excretion, Filtration,B
The following is the hormone that stimulates the production of red blood cells in the bone marrow and is released by the kidneys in response to low oxygen levels in the blood:, Erythropoietin, Thyroxine, Parathyroid hormone (PTH), Insulin,A
The following is the term for the network of capillaries that surrounds the renal tubules and reabsorbs water and solutes from the tubular fluid back into the bloodstream:, Renal corpuscle, Peritubular capillaries, Renal tubule, Glomerulus,B
The following is the hormone that regulates water reabsorption in the kidneys by increasing the permeability of the collecting ducts to water and is released by the posterior pituitary gland:, Antidiuretic hormone (ADH), Atrial natriuretic peptide (ANP), Renin, Aldosterone,A
The following is the process by which substances in the blood are filtered out of the glomerular capillaries and into the Bowman's capsule:, Excretion, Filtration, Secretion, Reabsorption,B
The following is the hormone that is released by the adrenal glands and promotes the reabsorption of sodium and the excretion of potassium in the distal tubules of the kidney:, Aldosterone, Antidiuretic hormone (ADH), Angiotensin II, Atrial natriuretic peptide (ANP),A
The following is the part of the nephron that is responsible for reabsorbing bicarbonate ions and regulating acid-base balance in the body:, Proximal convoluted tubule, Glomerulus, Distal convoluted tubule, Loop of Henle,A
The following is the process by which substances move from the renal tubules into the peritubular capillaries:, Reabsorption, Secretion, Excretion, Filtration,B
The following is the hormone that is released by the atria of the heart in response to high blood pressure and inhibits the release of aldosterone and ADH:, Angiotensin II, Aldosterone, Erythropoietin, Atrial natriuretic peptide (ANP),D
The following is the term for the structure that carries urine from the urinary bladder to the outside of the body:, Renal pelvis, Renal artery, Ureter, Urethra,D
The following is the hormone that promotes the reabsorption of water and sodium in the kidneys and is released by the adrenal glands during times of stress or low blood pressure:, Aldosterone, Antidiuretic hormone (ADH), Angiotensin II, Atrial natriuretic peptide (ANP),A
The following is the part of the nephron that is responsible for reabsorbing water and concentrating the urine by creating a hypertonic medullary interstitium:, Collecting duct, Renaltubule, Glomerulus, Loop of Henle,D
The following is the hormone that is released by the kidneys in response to high blood pressure and inhibits the release of renin and ADH:, Atrial natriuretic peptide (ANP), Erythropoietin, Aldosterone, Angiotensin II,A
The following is the term for the volume of blood pumped out of the left ventricle of the heart in one minute:, Cardiac output, Heart rate, Blood pressure, Stroke volume,A
The following is the hormone that is released by the adrenal glands in response to stress and increases heart rate and blood pressure:, Norepinephrine, Cortisol, Epinephrine, Aldosterone,C
The following is the term for the force exerted by blood against the walls of the arteries as the heart pumps blood:, Blood pressure, Pulse pressure, Mean arterial pressure, Cardiac output,A
The following is the term for the electrical signal that initiates each heartbeat and is generated by the sinoatrial (SA) node:, QRS complex, Action potential, Sinus rhythm, P wave,C
The following is the term for the relaxation phase of the cardiac cycle when the ventricles are filling with blood:, Atrial depolarization, Systole, Ventricular depolarization, Diastole,D
The following is the term for the volume of blood ejected from the left ventricle of the heart with each contraction:, Stroke volume, Cardiac output, Heart rate, Blood pressure,A
The following is the term for the electrical signal that spreads across the ventricles and causes them to contract:, P wave, T wave, QRS complex, Sinus rhythm,C
The following is the term for the contraction phase of the cardiac cycle when the ventricles are pumping blood out of the heart:, Atrial depolarization, Diastole, Ventricular depolarization, Systole,D
The following is the term for the period of time between the closure of the aortic valve and the opening of the mitral valve:, Rapid ventricular filling, Isovolumetric contraction, Ventricular ejection, Isovolumetric relaxation,D
The following is the hormone that is released by the kidneys in response to low blood pressure and stimulates the production of red blood cells in the bone marrow:, Insulin, Erythropoietin, Parathyroid hormone (PTH), Thyroxine,B
The following is the term for the volume of blood remaining in the ventricles at the end of ventricular diastole:, End-diastolic volume, End-systolic volume, Stroke volume, Cardiac output,A
The following is the term for the period of time between the closure of the mitral valve and the opening of the aortic valve:, Ventricular ejection, Rapid ventricular filling, Isovolumetric relaxation, Isovolumetric contraction,D
