"Question","Option A","Option B","Option C","Option D","Answer"
"What is the largest bone in the upper limb?","Humerus","Radius","Ulna","Scapula","A"
"Which muscle is responsible for flexing the forearm?","Biceps brachii","Triceps brachii","Deltoid","Brachioradialis","A"
"Which nerve innervates the muscles of the hand?","Radial nerve","Median nerve","Ulnar nerve","Musculocutaneous nerve","C"
"Which joint allows for flexion and extension of the elbow?","Glenohumeral joint","Elbow joint","Radioulnar joint","Wrist joint","B"
"What is the medical term for the collarbone?","Scapula","Clavicle","Sternum","Humerus","B"
"Which muscle is responsible for abduction of the shoulder?","Latissimus dorsi","Pectoralis major","Supraspinatus","Teres major","C"
"Which bone articulates with the scapula to form the shoulder joint?","Humerus","Radius","Ulna","Clavicle","A"
"What is the anatomical term for the thumb?","Pollex","Index finger","Middle finger","Ring finger","A"
"Which artery supplies blood to the forearm and hand?","Brachial artery","Radial artery","Ulnar artery","Axillary artery","C"
"Which ligament connects the clavicle to the sternum?","Acromioclavicular ligament","Coracoclavicular ligament","Costoclavicular ligament","Sternoclavicular ligament","D"
"What is the largest bone in the lower limb?","Femur","Tibia","Fibula","Patella","A"
"Which muscle is responsible for extension of the knee?","Quadriceps femoris","Hamstrings","Gastrocnemius","Soleus","A"
"Which nerve innervates the muscles of the anterior compartment of the leg?","Femoral nerve","Tibial nerve","Common peroneal nerve","Obturator nerve","A"
"Which joint allows for dorsiflexion and plantarflexion of the foot?","Hip joint","Knee joint","Ankle joint","Subtalar joint","C"
"What is the medical term for the kneecap?","Femur","Patella","Fibula","Tibia","B"
"Which muscle is responsible for eversion of the foot?","Tibialis anterior","Gastrocnemius","Soleus","Peroneus longus","D"
"Which bone articulates with the tibia and fibula to form the ankle joint?","Talus","Calcaneus","Navicular","Cuboid","A"
"What is the anatomical term for the big toe?","Hallux","Index toe","Middle toe","Ring toe","A"
"Which artery supplies blood to the lower limb?","Common iliac artery","Popliteal artery","Femoral artery","Anterior tibial artery","C"
"Which ligament connects the femur to the tibia to stabilize the knee joint?","Medial collateral ligament","Lateral collateral ligament","Anterior cruciate ligament","Posterior cruciate ligament","C"
"What is the primary function of the thorax?","Protection of vital organs","Production of red blood cells","Regulation of body temperature","Synthesis of hormones","A"
"Which bone forms the posterior part of the thoracic cage?","Sternum","Scapula","Vertebra","Clavicle","C"
"What is the medical term for the breastbone?","Scapula","Sternum","Clavicle","Rib","B"
"Which muscle is the main muscle of respiration?","Diaphragm","Pectoralis major","Rectus abdominis","Trapezius","A"
"Which of the following is NOT a part of the sternum?","Manubrium","Xiphoid process","Body","Spinous process","D"
"Which structure separates the thoracic cavity from the abdominal cavity?","Pleura","Diaphragm","Intercostal muscles","Pectoralis minor","B"
"What is the function of the intercostal muscles?","Aid in respiration","Flexion of the spine","Hip abduction","Hand grip strength","A"
"Which artery supplies blood to the thoracic wall?","Carotid artery","Subclavian artery","Intercostal artery","Femoral artery","C"
"What is the medical term for the collarbone?","Clavicle","Scapula","Humerus","Radius","A"
"What is the anatomical term for the shoulder blade?","Clavicle","Scapula","Sternum","Humerus","B"
"What is the largest organ in the abdomen?","Liver","Stomach","Small intestine","Kidney","A"
"Which muscle separates the thoracic and abdominal cavities?","Diaphragm","Rectus abdominis","External oblique","Transversus abdominis","A"
"Which organ is responsible for the production of bile?","Gallbladder","Pancreas","Spleen","Liver","D"
"What is the medical term for the voice box?","Larynx","Pharynx","Trachea","Esophagus","A"
"Which structure connects the kidneys to the bladder?","Urethra","Ureter","Prostate gland","Seminal vesicle","B"
"Which organ stores urine before elimination?","Kidney","Bladder","Ureter","Urethra","B"
"What is the primary function of the pancreas?","Production of insulin","Production of bile","Production of digestive enzymes","Production of red blood cells","C"
"Which organ is responsible for the filtration of blood and production of urine?","Liver","Spleen","Kidney","Gallbladder","C"
"Which structure connects the mouth to the stomach?","Esophagus","Trachea","Pharynx","Larynx","A"
"Which organ is part of the lymphatic system and aids in immune function?","Spleen","Gallbladder","Pancreas","Stomach","A"
"What is the primary function of the gallbladder?","Storage and concentration of bile","Production of insulin","Production of digestive enzymes","Production of red blood cells","A"
"Which structure is responsible for the absorption of nutrients from digested food?","Small intestine","Large intestine","Stomach","Esophagus","A"
"What is the medical term for the windpipe?","Larynx","Pharynx","Trachea","Esophagus","C"
"Which organ is responsible for the production of urine?","Kidney","Bladder","Urethra","Ureter","A"
"What is the medical term for the food pipe?","Larynx","Pharynx","Trachea","Esophagus","D"
"Which structure is responsible for the storage and concentration of bile?","Liver","Gallbladder","Spleen","Pancreas","B"
"Which organ is responsible for the digestion and absorption of fats?","Liver","Stomach","Small intestine","Kidney","C"
"What is the medical term for the voice box?","Larynx","Pharynx","Trachea","Esophagus","A"
