The process by which triglycerides are broken down into fatty acids and glycerol is called:,Hydrolysis,Condensation,Oxidation,Reduction,A
In which cellular compartment do fatty acid synthesis reactions occur?,Nucleus,Mitochondria,Endoplasmic reticulum,Golgi apparatus,C
Which of the following lipoproteins is responsible for transporting dietary triglycerides from the intestine to the tissues?,Chylomicrons,HDL,LDL,VLDL,A
The major structural components of biological membranes are:,Phospholipids,Triglycerides,Cholesterol,Steroids,A
Which of the following is NOT a function of lipids?,Energy storage,Insulation and thermal regulation,Cell signaling,Protein synthesis,D
The process by which fatty acids are metabolized to produce ATP is called:,Lipogenesis,Lipolysis,Lipoprotein metabolism,Lipid peroxidation,B
Which enzyme is responsible for the hydrolysis of dietary triglycerides in the small intestine?,Lipase,Amylase,Protease,Nuclease,A
In which form are fatty acids transported in the bloodstream?,Free fatty acids,Triglycerides,Phospholipids,Cholesterol esters,A
The addition of a double bond in a fatty acid chain is catalyzed by which enzyme?,Fatty acid synthase,Acetyl-CoA carboxylase,Acyl-CoA dehydrogenase,Stearoyl-CoA desaturase,D
"Which lipoprotein is often referred to as ""good cholesterol"" due to its role in reverse cholesterol transport?",Chylomicrons,HDL,LDL,VLDL,B
The key regulator of fatty acid synthesis is:,Insulin,Glucagon,Leptin,Growth hormone,A
Which lipoprotein carries cholesterol from the liver to peripheral tissues?,Chylomicrons,HDL,LDL,VLDL,C
In which organelle does beta-oxidation of fatty acids occur?,Nucleus,Mitochondria,Endoplasmic reticulum,Golgi apparatus,B
Which of the following is a precursor molecule for the synthesis of steroid hormones?,Triglycerides,Phospholipids,Cholesterol,Fatty acids,C
The breakdown of fatty acids into acetyl-CoA units occurs through a series of reactions known as:,Lipogenesis,Lipolysis,Lipoprotein metabolism,Lipid peroxidation,B
Which of the following is a saturated fatty acid?,Oleic acid,Linoleic acid,Stearic acid,Arachidonic acid,C
"Which lipoprotein is often referred to as ""bad cholesterol"" due to its association with cardiovascular disease?",Chylomicrons,HDL,LDL,VLDL,C
The process by which lipids are chemically modified to form bile acids is called:,Lipogenesis,Lipolysis,Lipoprotein metabolism,Bile acid synthesis,D
Which of the following lipids is a precursor for the synthesis of prostaglandins?,Triglycerides,Phospholipids,Cholesterol,Fatty acids,D
The enzyme responsible for the synthesis of triglycerides from glycerol and fatty acids is called:,Lipase,Amylase,Protease,Acyltransferase,D
The process by which glucose is converted to pyruvate is called:,Glycolysis,Gluconeogenesis,Glycogenolysis,Glycogenesis,A
In which cellular compartment does glycolysis occur?,Cytoplasm,Mitochondria,Nucleus,Endoplasmic reticulum,A
Which of the following is an example of a reducing sugar?,Fructose,Sucrose,Maltose,Lactose,C
The enzyme responsible for the conversion of glucose-6-phosphate to fructose-6-phosphate is called:,Hexokinase,Glucose-6-phosphatase,Phosphofructokinase,Aldolase,A
Which carbohydrate is a major storage form of glucose in animals?,Glycogen,Cellulose,Starch,Lactose,A
The process by which glucose is converted to glycogen is called:,Glycolysis,Gluconeogenesis,Glycogenolysis,Glycogenesis,D
Which of the following is NOT a monosaccharide?,Sucrose,Galactose,Fructose,Mannose,A
In which form are carbohydrates stored in plants?,Starch,Glycogen,Cellulose,Lactose,A
The enzyme responsible for the breakdown of glycogen to glucose-1-phosphate is called:,Glycogen synthase,Glycogen phosphorylase,Glycogen debranching enzyme,Hexokinase,B
Which of the following is a non-reducing disaccharide?,Maltose,Lactose,Sucrose,Trehalose,C
The process by which glucose is synthesized from non-carbohydrate precursors is called:,Glycolysis,Gluconeogenesis,Glycogenolysis,Glycogenesis,B
Which of the following is NOT a structural component of cellulose?,Glucose,Mannose,Fucose,Galactose,D
In which organelle does the TCA cycle (Krebs cycle) occur?,Mitochondria,Cytoplasm,Nucleus,Endoplasmic reticulum,A
Which of the following is a common aldohexose?,Glucose,Fructose,Mannose,Galactose,A
Which of the following is a storage polysaccharide found in plants?,Glycogen,Cellulose,Starch,Lactose,C
The process by which glycogen is broken down to release glucose is called:,Glycolysis,Gluconeogenesis,Glycogenolysis,Glycogenesis,C
Which of the following is a reducing disaccharide?,Maltose,Lactose,Sucrose,Trehalose,A
The enzyme responsible for the conversion of glucose-1-phosphate to glucose-6-phosphate is called:,Glycogen synthase,Glycogen phosphorylase,Glycogen debranching enzyme,Hexokinase,D
Which of the following is NOT a monosaccharide?,Sucrose,Galactose,Fructose,Mannose,A
The process by which DNA is copied to produce a complementary RNA molecule is called:,Transcription,Translation,Replication,Recombination,A
In which cellular compartment does DNA replication occur?,Nucleus,Mitochondria,Cytoplasm,Endoplasmic reticulum,A
Which of the following is a purine base found in DNA?,Adenine,Guanine,Cytosine,Uracil,A
The enzyme responsible for the synthesis of RNA from a DNA template is called:,DNA polymerase,RNA polymerase,DNA ligase,Helicase,B
Which nucleotide is complementary to adenine in DNA?,Guanine,Cytosine,Thymine,Uracil,C
The process by which genetic information in DNA is converted into a functional protein is called:,Transcription,Translation,Replication,Recombination,B
In which form is genetic information stored in cells?,DNA,RNA,Protein,Lipid,A
The enzyme responsible for unwinding the DNA double helix during replication is called:,DNA polymerase,RNA polymerase,DNA ligase,Helicase,D
