Which of the following is the hallmark feature of acute inflammation?,Fibrosis,Tissue necrosis,Vasodilation and increased vascular permeability,Granuloma formation,C
What is the primary mechanism of cellular adaptation in response to chronic stress or injury?,Hypertrophy,Hyperplasia,Atrophy,Metaplasia,A
Which of the following is a characteristic feature of apoptosis?,Cytoplasmic eosinophilia,Cellular swelling,Cell shrinkage and condensation of chromatin,Nuclear hyperplasia,C
What is the primary mechanism of tissue repair following injury?,Cellular hypertrophy,Angiogenesis and fibroblast proliferation,Granuloma formation and fibrosis,Inflammation and edema,B
Which of the following is a characteristic feature of necrosis?,Loss of plasma membrane integrity,Fragmentation of DNA,Pyknotic nuclei,Cellular shrinkage,A
What is the primary mechanism of cell injury in ischemia-reperfusion injury?,Accumulation of intracellular lipids,Impaired protein synthesis,Generation of reactive oxygen species (ROS),Activation of caspases,C
Which of the following is the most common cause of chronic inflammation?,Autoimmune reactions,Acute inflammation,Persistent infection,Granulomatous reactions,C
What is the primary mechanism of cellular injury in viral infections?,Activation of caspases,Impaired protein synthesis,Generation of reactive oxygen species (ROS),Direct cytopathic effects,D
Which of the following is a characteristic feature of granulomatous inflammation?,Formation of non-caseating granulomas,Tissue eosinophilia,Acute neutrophilic infiltrate,Suppurative necrosis,A
What is the primary mechanism of cell injury in chemical toxicity?,Impaired protein synthesis,Generation of reactive oxygen species (ROS),Activation of caspases,Disruption of cellular membranes,D
Which of the following is a characteristic feature of chronic inflammation?,Infiltration of lymphocytes and macrophages,Formation of fibrin,Tissue necrosis,Vasodilation and increased vascular permeability,A
What is the primary mechanism of cell injury in oxidative stress?,Activation of caspases,Disruption of cellular membranes,Generation of reactive oxygen species (ROS),Impaired protein synthesis,C
Which of the following is a characteristic feature of coagulative necrosis?,Liquefaction of tissue,Formation of granulation tissue,Suppuration,Preservation of tissue architecture,D
What is the primary mechanism of cell injury in radiation exposure?,DNA damage and impaired DNA repair,Activation of caspases,Impaired protein synthesis,Disruption of cellular membranes,A
Which of the following is a characteristic feature of chronic inflammation?,Preservation of tissue architecture,Tissue eosinophilia,Suppuration and abscess formation,Tissue fibrosis and scarring,D
What is the primary mechanism of cell injury in hypoxia?,Disruption of cellular membranes,Impaired oxidative phosphorylation,Impaired protein synthesis,Activation of caspases,B
Which of the following is a characteristic feature of caseous necrosis?,Granuloma formation with central necrosis,Liquefaction of tissue,Preservation of tissue architecture,Suppuration,A
What is the primary mechanism of cell injury in autoimmune diseases?,Impaired protein synthesis,Disruption of cellular membranes,Tissue destruction by immune cells,Activation of caspases,C
Which of the following is a characteristic feature of acute inflammation?,Formation of granulation tissue,Tissue fibrosis and scarring,Neutrophilic infiltrate and fibrin exudation,Tissue eosinophilia,C
What is the primary mechanism of cell injury in genetic mutations?,Impaired protein synthesis,Generation of reactive oxygen species (ROS),Activation of caspases,Disruption of cellular membranes,A
Which of the following is a characteristic feature of rheumatoid arthritis?,Elevated serum uric acid levels,Tophi deposition in joints,Symmetric joint involvement,Presence of HLA-B27 antigen,C
What is the primary mechanism of tissue injury in systemic lupus erythematosus (SLE)?,Activation of osteoclasts,Chronic granulomatous inflammation,Immune complex deposition,Impaired collagen synthesis,C
Which of the following is a characteristic feature of systemic sclerosis (scleroderma)?,Inflammatory infiltrate in the joints,Formation of pannus,Fibrosis of the skin and internal organs,Granuloma formation and caseous necrosis,C
What is the primary mechanism of tissue injury in multiple sclerosis (MS)?,Impaired collagen synthesis,Immune complex deposition,Demyelination of axons,Chronic granulomatous inflammation,C
Which of the following is a characteristic feature of systemic vasculitis?,Deposition of amyloid in blood vessels,Inflammation and necrosis of blood vessel walls,Formation of fibrinoid necrosis in the liver,Presence of Reed-Sternberg cells,B
What is the primary mechanism of tissue injury in Alzheimer's disease?,Neuronal loss and accumulation of beta-amyloid plaques,Chronic granulomatous inflammation,Immune complex deposition,Impaired collagen synthesis,A
Which of the following is a characteristic feature of systemic amyloidosis?,Fibrosis of the skin and internal organs,Granuloma formation and caseous necrosis,Formation of pannus,Deposition of amyloid protein in various organs,D
What is the primary mechanism of tissue injury in Parkinson's disease?,Chronic granulomatous inflammation,Immune complex deposition,Impaired collagen synthesis,Degeneration of dopaminergic neurons,D
Which of the following is a characteristic feature of systemic vasculitis?,Presence of Reed-Sternberg cells,Formation of fibrinoid necrosis in the liver,Inflammation and necrosis of blood vessel walls,Deposition of amyloid in blood vessels,C
What is the primary mechanism of tissue injury in systemic vasculitis?,Activation of osteoclasts,Inflammation and necrosis of blood vessel walls,Chronic granulomatous inflammation,Impaired collagen synthesis,B
Which of the following is a characteristic feature of systemic lupus erythematosus (SLE)?,Presence of HLA-B27 antigen,Elevated serum uric acid levels,Autoantibodies against nuclear components,Tophi deposition in joints,C
What is the primary mechanism of tissue injury in rheumatoid arthritis?,Chronic granulomatous inflammation,Chronic inflammation and destruction of synovial joints,Impaired collagen synthesis,Activation of osteoclasts,B
Which of the following is a characteristic feature of systemic sclerosis (scleroderma)?,Formation of pannus,Inflammatory infiltrate in the joints,Fibrosis of the skin and internal organs,Granuloma formation and caseous necrosis,C
What is the primary mechanism of tissue injury in systemic amyloidosis?,Impaired collagen synthesis,Immune complex deposition,Deposition of amyloid protein in various organs,Chronic granulomatous inflammation,C
Which of the following is a characteristic feature of multiple sclerosis (MS)?,Demyelination of axons,Tophi deposition in joints,Presence of HLA-B27 antigen,Elevated serum uric acid levels,A
What is the primary mechanism of tissue injury in systemic vasculitis?,Impaired collagen synthesis,Inflammation and necrosis of blood vessel walls,Activation of osteoclasts,Chronic granulomatous inflammation,B
Which of the following is a characteristic feature of systemic lupus erythematosus (SLE)?,Presence of HLA-B27 antigen,Elevated serum uric acid levels,Granuloma formation and caseous necrosis,Autoantibodies against nuclear components,D
What is the primary mechanism of tissue injury in systemic sclerosis (scleroderma)?,Fibrosis of the skin and internal organs,Immune complex deposition,Impaired collagen synthesis,Chronic granulomatous inflammation,A
Which of the following is a characteristic feature of systemic vasculitis?,Inflammation and necrosis of blood vessel walls,Elevated serum uric acid levels,Tophi deposition in joints,Presence of HLA-B27 antigen,A
What is the primary mechanism of tissue injury in Alzheimer's disease?,Chronic granulomatous inflammation,Neuronal loss and accumulation of beta-amyloid plaques,Impaired collagen synthesis,Activation of osteoclasts,B
Which of the following is a characteristic feature of dysplasia?,Presence of granulomas,Deposition of amyloid protein in cells,Increased number of mitotic figures,Disordered cellular growth and maturation,D
What is the primary mechanism of cellular injury in hypoxia?,Activation of caspases,Impaired protein synthesis,Impaired oxidative phosphorylation,Disruption of cellular membranes,C
Which of the following is a characteristic feature of apoptosis?,Cytoplasmic eosinophilia,Cell shrinkage and condensation of chromatin,Cellular swelling,Nuclear hyperplasia,B
What is the primary mechanism of cell injury in chemical toxicity?,Impaired protein synthesis,Disruption of cellular membranes,Generation of reactive oxygen species (ROS),Activation of caspases,B
Which of the following is a characteristic feature of necrosis?,Cellular shrinkage,Fragmentation of DNA,Pyknotic nuclei,Loss of plasma membrane integrity,D
What is the primary mechanism of cellular adaptation in response to chronic stress or injury?,Atrophy,Hypertrophy,Hyperplasia,Metaplasia,B
Which of the following is a characteristic feature of granulomatous inflammation?,Tissue eosinophilia,Suppurative necrosis,Formation of non-caseating granulomas,Acute neutrophilic infiltrate,C
What is the primary mechanism of cell injury in ischemia-reperfusion injury?,Activation of caspases,Generation of reactive oxygen species (ROS),Impaired protein synthesis,Accumulation of intracellular lipids,B
Which of the following is a characteristic feature of metaplasia?,Increased number of mitotic figures,Presence of granulomas,Replacement of one differentiated cell type with another,Deposition of amyloid protein in cells,C
What is the primary mechanism of cell injury in viral infections?,Impaired protein synthesis,Activation of caspases,Generation of reactive oxygen species (ROS),Direct cytopathic effects,D
Which of the following is a characteristic feature of chronic inflammation?,Infiltration of lymphocytes and macrophages,Tissue necrosis,Vasodilation and increased vascular permeability,Formation of fibrin,A
What is the primary mechanism of cell injury in oxidative stress?,Impaired protein synthesis,Generation of reactive oxygen species (ROS),Activation of caspases,Disruption of cellular membranes,B
